provider;state;specialty;indicator_value
CAMDEL;LAVALLEJA;ESPECIALISTA EN NEFROLOGIA;0.03
CAMDEL;LAVALLEJA;ESPECIALISTA EN NEUMOLOGIA;0.13
CAMDEL;LAVALLEJA;ESPECIALISTA EN NEUROCIRUGIA;0.00
CAMDEL;LAVALLEJA;ESPECIALISTA EN NEUROLOGIA;0.39
CAMDEL;LAVALLEJA;ESPECIALISTA EN NEUROPEDIATRIA;2.33
CAMDEL;LAVALLEJA;ESPECIALISTA EN OFTALMOLOGIA;0.09
CAMDEL;LAVALLEJA;ESPECIALISTA EN ONCOLOGIA MEDICA;0.04
CAMDEL;LAVALLEJA;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.36
CAMDEL;LAVALLEJA;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.51
CAMDEL;LAVALLEJA;ESPECIALISTA EN PEDIATRIA;7.05
CAMDEL;LAVALLEJA;ESPECIALISTA EN PSIQUIATRIA;1.17
CAMDEL;LAVALLEJA;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;0.20
CAMDEL;LAVALLEJA;ESPECIALISTA EN REUMATOLOGIA;0.63
CAMDEL;LAVALLEJA;ESPECIALISTA EN UROLOGIA;0.13
CAMDEL;LAVALLEJA;ESPECIALISTA EN UROLOGIA PEDIATRICA;0.00
CAMDEL;LAVALLEJA;LICENCIADO EN FISIOTERAPIA;3.69
CAMDEL;LAVALLEJA;LICENCIADO EN FONOAUDIOLOGIA;0.30
CAMDEL;LAVALLEJA;LICENCIADO EN NUTRICION;1.46
CAMDEL;LAVALLEJA;LICENCIADO EN PSICOLOGIA;1.53
CAMDEL;LAVALLEJA;LICENCIADO EN PSICOPEDAGOGIA;0.19
CAMDEL;LAVALLEJA;OBSTETRA PARTERA;3.54
CAMEC;COLONIA;DOCTOR EN MEDICINA;6.92
CAMEC;COLONIA;ESPECIALISTA EN ANESTESIOLOGIA;0.48
CAMEC;COLONIA;ESPECIALISTA EN CARDIOLOGIA;0.30
CAMEC;COLONIA;ESPECIALISTA EN CIRUGIA GENERAL;1.30
CAMEC;COLONIA;ESPECIALISTA EN CIRUGIA PLASTICA REPARADORA Y ESTETICA;0.01
CAMEC;COLONIA;ESPECIALISTA EN CIRUGIA VASCULAR PERIFERICA;0.03
CAMEC;COLONIA;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.07
CAMEC;COLONIA;ESPECIALISTA EN ENDOCRINOLOGIA;0.01
CAMEC;COLONIA;ESPECIALISTA EN ENFERMEDADES INFECCIOSAS;0.00
CAMEC;COLONIA;ESPECIALISTA EN FISIATRIA;0.02
CAMEC;COLONIA;ESPECIALISTA EN GASTROENTEROLOGIA;0.00
CAMEC;COLONIA;ESPECIALISTA EN GERIATRIA GERONTOLOGICA;0.00
CAMEC;COLONIA;ESPECIALISTA EN GINECOTOCOLOGIA;1.12
CAMEC;COLONIA;ESPECIALISTA EN HEMATOLOGIA;0.02
CAMEC;COLONIA;ESPECIALISTA EN MEDICINA INTENSIVA;1.25
CAMEC;COLONIA;ESPECIALISTA EN MEDICINA INTERNA;1.26
CAMEC;COLONIA;ESPECIALISTA EN NEFROLOGIA;0.27
CAMEC;COLONIA;ESPECIALISTA EN NEUMOLOGIA;0.09
CAMEC;COLONIA;ESPECIALISTA EN NEUROCIRUGIA;0.18
CAMEC;COLONIA;ESPECIALISTA EN NEUROLOGIA;0.01
CAMEC;COLONIA;ESPECIALISTA EN NEUROPEDIATRIA;0.03
CAMEC;COLONIA;ESPECIALISTA EN OFTALMOLOGIA;0.23
CAMEC;COLONIA;ESPECIALISTA EN ONCOLOGIA MEDICA;0.04
CAMEC;COLONIA;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.03
CAMEC;COLONIA;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.05
CAMEC;COLONIA;ESPECIALISTA EN PEDIATRIA;5.46
CAMEC;COLONIA;ESPECIALISTA EN PSIQUIATRIA;0.40
CAMEC;COLONIA;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;0.19
CAMEC;COLONIA;ESPECIALISTA EN REUMATOLOGIA;0.04
CAMEC;COLONIA;ESPECIALISTA EN UROLOGIA;0.09
CAMEC;COLONIA;LICENCIADO EN FISIOTERAPIA;3.09
CAMEC;COLONIA;LICENCIADO EN FONOAUDIOLOGIA;0.20
CAMEC;COLONIA;LICENCIADO EN NUTRICION;2.30
CAMEC;COLONIA;LICENCIADO EN PSICOLOGIA;0.01
CAMEC;COLONIA;OBSTETRA PARTERA;4.31
CAMEDUR;DURAZNO;DOCTOR EN MEDICINA;26.97
CAMEDUR;DURAZNO;DOCTOR EN ODONTOLOGIA;0.83
CAMEDUR;DURAZNO;ESPECIALISTA EN ALERGOLOGIA;0.01
CAMEDUR;DURAZNO;ESPECIALISTA EN ANESTESIOLOGIA;1.34
CAMEDUR;DURAZNO;ESPECIALISTA EN CARDIOLOGIA;1.32
CAMEDUR;DURAZNO;ESPECIALISTA EN CIRUGIA DE TORAX;0.02
CAMEDUR;DURAZNO;ESPECIALISTA EN CIRUGIA GENERAL;1.75
CAMEDUR;DURAZNO;ESPECIALISTA EN CIRUGIA PLASTICA REPARADORA Y ESTETICA;0.76
CAMEDUR;DURAZNO;ESPECIALISTA EN CIRUGIA Y TRAUMATOLOGIA BUCO-MAXILO-FACIAL;0.00
CAMEDUR;DURAZNO;ESPECIALISTA EN CUIDADOS PALIATIVOS DEL ADULTO;0.19
CAMEDUR;DURAZNO;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.16
CAMEDUR;DURAZNO;ESPECIALISTA EN ENDOCRINOLOGIA;0.25
CAMEDUR;DURAZNO;ESPECIALISTA EN ENFERMEDADES INFECCIOSAS;0.03
CAMEDUR;DURAZNO;ESPECIALISTA EN FISIATRIA;0.20
CAMEDUR;DURAZNO;ESPECIALISTA EN GASTROENTEROLOGIA;0.55
CAMEDUR;DURAZNO;ESPECIALISTA EN GINECOTOCOLOGIA;5.45
CAMEDUR;DURAZNO;ESPECIALISTA EN HEMATOLOGIA;0.28
CAMEDUR;DURAZNO;ESPECIALISTA EN MEDICINA INTENSIVA;2.58
CAMEDUR;DURAZNO;ESPECIALISTA EN MEDICINA INTERNA;1.13
CAMEDUR;DURAZNO;ESPECIALISTA EN NEFROLOGIA;1.25
CAMEDUR;DURAZNO;ESPECIALISTA EN NEONATOLOGIA;3.27
CAMEDUR;DURAZNO;ESPECIALISTA EN NEUMOLOGIA;0.01
CAMEDUR;DURAZNO;ESPECIALISTA EN NEUROCIRUGIA;0.01
CAMEDUR;DURAZNO;ESPECIALISTA EN NEUROLOGIA;0.33
CAMEDUR;DURAZNO;ESPECIALISTA EN OFTALMOLOGIA;0.31
CAMEDUR;DURAZNO;ESPECIALISTA EN ONCOLOGIA MEDICA;0.16
CAMEDUR;DURAZNO;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.57
CAMEDUR;DURAZNO;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.29
CAMEDUR;DURAZNO;ESPECIALISTA EN PEDIATRIA;11.06
CAMEDUR;DURAZNO;ESPECIALISTA EN PSIQUIATRIA;0.40
CAMEDUR;DURAZNO;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;0.35
CAMEDUR;DURAZNO;ESPECIALISTA EN REUMATOLOGIA;0.12
CAMEDUR;DURAZNO;ESPECIALISTA EN UROLOGIA;0.12
CAMEDUR;DURAZNO;ESPECIALISTA EN UROLOGIA PEDIATRICA;0.01
CAMEDUR;DURAZNO;LICENCIADO EN FISIOTERAPIA;2.76
CAMEDUR;DURAZNO;LICENCIADO EN FONOAUDIOLOGIA;0.03
CAMEDUR;DURAZNO;LICENCIADO EN NUTRICION;2.25
CAMEDUR;DURAZNO;LICENCIADO EN PSICOLOGIA;2.04
CAMEDUR;DURAZNO;LICENCIADO EN PSICOMOTRICIDAD;0.00
CAMEDUR;DURAZNO;LICENCIADO EN TRABAJO SOCIAL;0.91
CAMEDUR;DURAZNO;OBSTETRA PARTERA;3.64
CAMOC;COLONIA;DOCTOR EN MEDICINA;13.54
CAMOC;COLONIA;DOCTOR EN ODONTOLOGIA;0.83
CAMOC;COLONIA;ESPECIALISTA EN ALERGOLOGIA;0.01
CAMOC;COLONIA;ESPECIALISTA EN ANESTESIOLOGIA;1.50
CAMOC;COLONIA;ESPECIALISTA EN CARDIOLOGIA;0.59
CAMOC;COLONIA;ESPECIALISTA EN CIRUGIA GENERAL;2.91
CAMOC;COLONIA;ESPECIALISTA EN CIRUGIA VASCULAR PERIFERICA;0.01
CAMOC;COLONIA;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.13
CAMOC;COLONIA;ESPECIALISTA EN DIABETOLOGIA;0.42
CAMOC;COLONIA;ESPECIALISTA EN ENDOCRINOLOGIA;0.09
CAMOC;COLONIA;ESPECIALISTA EN ENFERMEDADES INFECCIOSAS;0.52
CAMOC;COLONIA;ESPECIALISTA EN FISIATRIA;0.14
CAMOC;COLONIA;ESPECIALISTA EN GASTROENTEROLOGIA;0.33
CAMOC;COLONIA;ESPECIALISTA EN GERIATRIA GERONTOLOGICA;0.85
CAMOC;COLONIA;ESPECIALISTA EN GINECOTOCOLOGIA;2.54
CAMOC;COLONIA;ESPECIALISTA EN HEMATOLOGIA;0.85
CAMOC;COLONIA;ESPECIALISTA EN MEDICINA INTENSIVA;3.19
CAMOC;COLONIA;ESPECIALISTA EN MEDICINA INTERNA;0.06
CAMOC;COLONIA;ESPECIALISTA EN NEFROLOGIA;1.90
CAMOC;COLONIA;ESPECIALISTA EN NEONATOLOGIA;0.00
CAMOC;COLONIA;ESPECIALISTA EN NEUMOLOGIA;0.02
CAMOC;COLONIA;ESPECIALISTA EN NEUROCIRUGIA;0.00
CAMOC;COLONIA;ESPECIALISTA EN NEUROLOGIA;0.19
CAMOC;COLONIA;ESPECIALISTA EN NEUROPEDIATRIA;0.06
CAMOC;COLONIA;ESPECIALISTA EN OFTALMOLOGIA;0.87
CAMOC;COLONIA;ESPECIALISTA EN ONCOLOGIA MEDICA;0.96
CAMOC;COLONIA;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.68
CAMOC;COLONIA;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.58
CAMOC;COLONIA;ESPECIALISTA EN PEDIATRIA;25.95
CAMOC;COLONIA;ESPECIALISTA EN PSIQUIATRIA;0.89
CAMOC;COLONIA;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;0.34
CAMOC;COLONIA;ESPECIALISTA EN REUMATOLOGIA;0.05
CAMOC;COLONIA;ESPECIALISTA EN UROLOGIA;0.46
CAMOC;COLONIA;LICENCIADO EN FISIOTERAPIA;0.00
CAMOC;COLONIA;LICENCIADO EN FONOAUDIOLOGIA;0.10
CAMOC;COLONIA;LICENCIADO EN NUTRICION;0.52
CAMOC;COLONIA;LICENCIADO EN PSICOLOGIA;0.27
CAMOC;COLONIA;LICENCIADO EN TRABAJO SOCIAL;0.00
CAMOC;COLONIA;OBSTETRA PARTERA;2.00
CAMS;SORIANO;DOCTOR EN MEDICINA;12.50
CAMS;SORIANO;DOCTOR EN ODONTOLOGIA;0.91
CAMS;SORIANO;ESPECIALISTA EN ANESTESIOLOGIA;1.39
CAMS;SORIANO;ESPECIALISTA EN CARDIOLOGIA;1.05
CAMS;SORIANO;ESPECIALISTA EN CIRUGIA GENERAL;1.91
CAMS;SORIANO;ESPECIALISTA EN CIRUGIA INFANTIL O PEDIATRICA;0.03
CAMS;SORIANO;ESPECIALISTA EN CIRUGIA PLASTICA REPARADORA Y ESTETICA;0.29
CAMS;SORIANO;ESPECIALISTA EN CIRUGIA VASCULAR PERIFERICA;0.01
CAMS;SORIANO;ESPECIALISTA EN CUIDADOS PALIATIVOS DEL ADULTO;0.01
CAMS;SORIANO;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.09
CAMS;SORIANO;ESPECIALISTA EN DIABETOLOGIA;0.04
CAMS;SORIANO;ESPECIALISTA EN ENDOCRINOLOGIA;0.15
CAMS;SORIANO;ESPECIALISTA EN ENDOSCOPIA DIGESTIVA;0.00
CAMS;SORIANO;ESPECIALISTA EN ENFERMEDADES INFECCIOSAS;0.08
CAMS;SORIANO;ESPECIALISTA EN FISIATRIA;0.27
CAMS;SORIANO;ESPECIALISTA EN GASTROENTEROLOGIA;0.56
CAMS;SORIANO;ESPECIALISTA EN GERIATRIA GERONTOLOGICA;0.24
CAMS;SORIANO;ESPECIALISTA EN GINECOTOCOLOGIA;4.88
CAMS;SORIANO;ESPECIALISTA EN HEMATOLOGIA;0.10
CAMS;SORIANO;ESPECIALISTA EN MEDICINA FAMILIAR Y COMUNITARIA;0.23
CAMS;SORIANO;ESPECIALISTA EN MEDICINA INTENSIVA;1.35
CAMS;SORIANO;ESPECIALISTA EN MEDICINA INTERNA;1.85
CAMS;SORIANO;ESPECIALISTA EN NEFROLOGIA;0.59
CAMS;SORIANO;ESPECIALISTA EN NEONATOLOGIA;61.72
CAMS;SORIANO;ESPECIALISTA EN NEUMOLOGIA;0.06
CAMS;SORIANO;ESPECIALISTA EN NEUROCIRUGIA;0.00
CAMS;SORIANO;ESPECIALISTA EN NEUROLOGIA;0.09
CAMS;SORIANO;ESPECIALISTA EN NEUROPEDIATRIA;0.08
CAMS;SORIANO;ESPECIALISTA EN OFTALMOLOGIA;0.50
CAMS;SORIANO;ESPECIALISTA EN ONCOLOGIA MEDICA;0.17
CAMS;SORIANO;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.83
CAMS;SORIANO;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.41
CAMS;SORIANO;ESPECIALISTA EN PEDIATRIA;22.68
CAMS;SORIANO;ESPECIALISTA EN PSICOTERAPIA PSICOANALITICA;0.35
CAMS;SORIANO;ESPECIALISTA EN PSIQUIATRIA;1.24
CAMS;SORIANO;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;0.48
CAMS;SORIANO;ESPECIALISTA EN REUMATOLOGIA;0.00
CAMS;SORIANO;ESPECIALISTA EN UROLOGIA;0.85
CAMS;SORIANO;LICENCIADO EN FISIOTERAPIA;5.08
CAMS;SORIANO;LICENCIADO EN FONOAUDIOLOGIA;0.15
CAMS;SORIANO;LICENCIADO EN NUTRICION;3.97
CAMS;SORIANO;LICENCIADO EN PSICOLOGIA;0.78
CAMS;SORIANO;LICENCIADO EN PSICOMOTRICIDAD;0.16
CAMS;SORIANO;LICENCIADO EN TRABAJO SOCIAL;0.44
CAMS;SORIANO;OBSTETRA PARTERA;3.49
CAMY;RÍO NEGRO;DOCTOR EN MEDICINA;8.35
CAMY;RÍO NEGRO;ESPECIALISTA EN ALERGOLOGIA;0.33
CAMY;RÍO NEGRO;ESPECIALISTA EN ANESTESIOLOGIA;2.23
CAMY;RÍO NEGRO;ESPECIALISTA EN CARDIOLOGIA;1.23
CAMY;RÍO NEGRO;ESPECIALISTA EN CIRUGIA GENERAL;1.80
CAMY;RÍO NEGRO;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.19
CAMY;RÍO NEGRO;ESPECIALISTA EN ENDOCRINOLOGIA;1.19
CAMY;RÍO NEGRO;ESPECIALISTA EN GASTROENTEROLOGIA;0.09
CAMY;RÍO NEGRO;ESPECIALISTA EN GINECOTOCOLOGIA;12.30
CAMY;RÍO NEGRO;ESPECIALISTA EN HEMATOLOGIA;0.05
CAMY;RÍO NEGRO;ESPECIALISTA EN MEDICINA FAMILIAR Y COMUNITARIA;2.18
CAMY;RÍO NEGRO;ESPECIALISTA EN MEDICINA INTENSIVA;6.51
CAMY;RÍO NEGRO;ESPECIALISTA EN MEDICINA INTERNA;4.36
CAMY;RÍO NEGRO;ESPECIALISTA EN NEUROLOGIA;0.10
CAMY;RÍO NEGRO;ESPECIALISTA EN OFTALMOLOGIA;0.70
CAMY;RÍO NEGRO;ESPECIALISTA EN ONCOLOGIA MEDICA;0.08
CAMY;RÍO NEGRO;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;2.79
CAMY;RÍO NEGRO;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.23
CAMY;RÍO NEGRO;ESPECIALISTA EN PEDIATRIA;11.04
CAMY;RÍO NEGRO;ESPECIALISTA EN PSIQUIATRIA;0.91
CAMY;RÍO NEGRO;LICENCIADO EN FISIOTERAPIA;3.70
CAMY;RÍO NEGRO;LICENCIADO EN FONOAUDIOLOGIA;0.17
CAMY;RÍO NEGRO;LICENCIADO EN NUTRICION;0.15
CAMY;RÍO NEGRO;LICENCIADO EN PSICOLOGIA;0.17
CAMY;RÍO NEGRO;OBSTETRA PARTERA;0.51
CASMER;RIVERA;DOCTOR EN MEDICINA;19.76
CASMER;RIVERA;DOCTOR EN ODONTOLOGIA;0.77
CASMER;RIVERA;ESPECIALISTA EN ANESTESIOLOGIA;0.76
CASMER;RIVERA;ESPECIALISTA EN CARDIOLOGIA;1.39
CASMER;RIVERA;ESPECIALISTA EN CIRUGIA GENERAL;0.88
CASMER;RIVERA;ESPECIALISTA EN CIRUGIA PLASTICA REPARADORA Y ESTETICA;0.33
CASMER;RIVERA;ESPECIALISTA EN CIRUGIA VASCULAR PERIFERICA;0.11
CASMER;RIVERA;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.11
CASMER;RIVERA;ESPECIALISTA EN DIABETOLOGIA;0.13
CASMER;RIVERA;ESPECIALISTA EN ENDOCRINOLOGIA;0.12
CASMER;RIVERA;ESPECIALISTA EN ENFERMEDADES INFECCIOSAS;0.00
CASMER;RIVERA;ESPECIALISTA EN FISIATRIA;0.06
CASMER;RIVERA;ESPECIALISTA EN GASTROENTEROLOGIA;0.46
CASMER;RIVERA;ESPECIALISTA EN GERIATRIA GERONTOLOGICA;0.79
CASMER;RIVERA;ESPECIALISTA EN GINECOTOCOLOGIA;5.53
CASMER;RIVERA;ESPECIALISTA EN HEMATOLOGIA;0.01
CASMER;RIVERA;ESPECIALISTA EN MEDICINA INTENSIVA;2.40
CASMER;RIVERA;ESPECIALISTA EN MEDICINA INTERNA;4.83
CASMER;RIVERA;ESPECIALISTA EN NEFROLOGIA;0.86
CASMER;RIVERA;ESPECIALISTA EN NEUMOLOGIA;0.07
CASMER;RIVERA;ESPECIALISTA EN NEUROCIRUGIA;0.07
CASMER;RIVERA;ESPECIALISTA EN NEUROLOGIA;0.74
CASMER;RIVERA;ESPECIALISTA EN NEUROPEDIATRIA;0.15
CASMER;RIVERA;ESPECIALISTA EN OFTALMOLOGIA;0.82
CASMER;RIVERA;ESPECIALISTA EN ONCOLOGIA MEDICA;0.17
CASMER;RIVERA;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.82
CASMER;RIVERA;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.61
CASMER;RIVERA;ESPECIALISTA EN PEDIATRIA;18.53
CASMER;RIVERA;ESPECIALISTA EN PSIQUIATRIA;0.87
CASMER;RIVERA;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;0.18
CASMER;RIVERA;ESPECIALISTA EN REUMATOLOGIA;0.07
CASMER;RIVERA;ESPECIALISTA EN UROLOGIA;0.81
CASMER;RIVERA;LICENCIADO EN NUTRICION;1.68
CASMER;RIVERA;LICENCIADO EN PSICOLOGIA;1.72
CASMER;RIVERA;LICENCIADO EN PSICOMOTRICIDAD;0.04
CASMER;RIVERA;LICENCIADO EN TRABAJO SOCIAL;0.21
CASMER;RIVERA;OBSTETRA PARTERA;5.12
CASMU;CANELONES;DOCTOR EN MEDICINA;0.00
CASMU;CANELONES;ESPECIALISTA EN PEDIATRIA;0.00
CASMU;MALDONADO;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.00
CASMU;MONTEVIDEO;DOCTOR EN MEDICINA;2.21
CASMU;MONTEVIDEO;ESPECIALISTA EN ALERGOLOGIA;0.00
CASMU;MONTEVIDEO;ESPECIALISTA EN ANESTESIOLOGIA;1.55
CASMU;MONTEVIDEO;ESPECIALISTA EN CARDIOLOGIA;0.15
CASMU;MONTEVIDEO;ESPECIALISTA EN CARDIOLOGIA PEDIATRICA;0.00
CASMU;MONTEVIDEO;ESPECIALISTA EN CIRUGIA DE TORAX;0.00
CASMU;MONTEVIDEO;ESPECIALISTA EN CIRUGIA GENERAL;0.69
CASMU;MONTEVIDEO;ESPECIALISTA EN CIRUGIA INFANTIL O PEDIATRICA;0.00
CASMU;MONTEVIDEO;ESPECIALISTA EN CIRUGIA PLASTICA REPARADORA Y ESTETICA;0.00
CASMU;MONTEVIDEO;ESPECIALISTA EN CIRUGIA VASCULAR PERIFERICA;0.00
CASMU;MONTEVIDEO;ESPECIALISTA EN CUIDADOS PALIATIVOS DEL ADULTO;0.27
CASMU;MONTEVIDEO;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.00
CASMU;MONTEVIDEO;ESPECIALISTA EN DIABETOLOGIA;0.00
CASMU;MONTEVIDEO;ESPECIALISTA EN ENDOCRINOLOGIA;0.00
CASMU;MONTEVIDEO;ESPECIALISTA EN ENDOSCOPIA DIGESTIVA;0.00
CASMU;MONTEVIDEO;ESPECIALISTA EN ENFERMEDADES INFECCIOSAS;0.07
CASMU;MONTEVIDEO;ESPECIALISTA EN FISIATRIA;0.52
CASMU;MONTEVIDEO;ESPECIALISTA EN GASTROENTEROLOGIA;0.06
CASMU;MONTEVIDEO;ESPECIALISTA EN GERIATRIA GERONTOLOGICA;0.28
CASMU;MONTEVIDEO;ESPECIALISTA EN GINECOTOCOLOGIA;0.48
CASMU;MONTEVIDEO;ESPECIALISTA EN HEMATOLOGIA;0.30
CASMU;MONTEVIDEO;ESPECIALISTA EN MEDICINA FAMILIAR Y COMUNITARIA;0.79
CASMU;MONTEVIDEO;ESPECIALISTA EN MEDICINA INTENSIVA;1.93
CASMU;MONTEVIDEO;ESPECIALISTA EN MEDICINA INTERNA;3.46
CASMU;MONTEVIDEO;ESPECIALISTA EN NEFROLOGIA;0.33
CASMU;MONTEVIDEO;ESPECIALISTA EN NEONATOLOGIA;110.26
CASMU;MONTEVIDEO;ESPECIALISTA EN NEUMOLOGIA;0.17
CASMU;MONTEVIDEO;ESPECIALISTA EN NEUROCIRUGIA;0.00
CASMU;MONTEVIDEO;ESPECIALISTA EN NEUROLOGIA;0.17
CASMU;MONTEVIDEO;ESPECIALISTA EN NEUROPEDIATRIA;0.00
CASMU;MONTEVIDEO;ESPECIALISTA EN OFTALMOLOGIA;0.00
CASMU;MONTEVIDEO;ESPECIALISTA EN ONCOLOGIA MEDICA;0.38
CASMU;MONTEVIDEO;ESPECIALISTA EN ONCOLOGIA RADIOTERAPICA;0.00
CASMU;MONTEVIDEO;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.91
CASMU;MONTEVIDEO;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.00
CASMU;MONTEVIDEO;ESPECIALISTA EN PEDIATRIA;7.48
CASMU;MONTEVIDEO;ESPECIALISTA EN PSIQUIATRIA;0.35
CASMU;MONTEVIDEO;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;0.78
CASMU;MONTEVIDEO;ESPECIALISTA EN REUMATOLOGIA;0.00
CASMU;MONTEVIDEO;ESPECIALISTA EN UROLOGIA;0.16
CASMU;MONTEVIDEO;ESPECIALISTA EN UROLOGIA PEDIATRICA;0.00
CASMU;MONTEVIDEO;LICENCIADO EN FISIOTERAPIA;4.23
CASMU;MONTEVIDEO;LICENCIADO EN FONOAUDIOLOGIA;0.00
CASMU;MONTEVIDEO;LICENCIADO EN NUTRICION;3.92
CASMU;MONTEVIDEO;LICENCIADO EN PSICOLOGIA;0.52
CASMU;MONTEVIDEO;LICENCIADO EN TRABAJO SOCIAL;0.13
CASMU;MONTEVIDEO;OBSTETRA PARTERA;0.00
CASMU;SAN JOSÉ;DOCTOR EN MEDICINA;0.00
CIRCULO CATOLICO;CANELONES;DOCTOR EN MEDICINA;11.70
CIRCULO CATOLICO;CANELONES;DOCTOR EN ODONTOLOGIA;0.32
CIRCULO CATOLICO;CANELONES;ESPECIALISTA EN CARDIOLOGIA;0.00
CIRCULO CATOLICO;CANELONES;ESPECIALISTA EN CIRUGIA GENERAL;0.09
CIRCULO CATOLICO;CANELONES;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.08
CIRCULO CATOLICO;CANELONES;ESPECIALISTA EN DIABETOLOGIA;0.00
CIRCULO CATOLICO;CANELONES;ESPECIALISTA EN ENDOCRINOLOGIA;0.00
CIRCULO CATOLICO;CANELONES;ESPECIALISTA EN GASTROENTEROLOGIA;0.03
CIRCULO CATOLICO;CANELONES;ESPECIALISTA EN GINECOTOCOLOGIA;0.30
CIRCULO CATOLICO;CANELONES;ESPECIALISTA EN NEUROCIRUGIA;0.12
CIRCULO CATOLICO;CANELONES;ESPECIALISTA EN NEUROLOGIA;0.10
CIRCULO CATOLICO;CANELONES;ESPECIALISTA EN OFTALMOLOGIA;0.06
CIRCULO CATOLICO;CANELONES;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.00
CIRCULO CATOLICO;CANELONES;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.04
CIRCULO CATOLICO;CANELONES;ESPECIALISTA EN PEDIATRIA;5.20
CIRCULO CATOLICO;CANELONES;ESPECIALISTA EN PSIQUIATRIA;0.14
CIRCULO CATOLICO;CANELONES;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;0.00
CIRCULO CATOLICO;CANELONES;ESPECIALISTA EN REUMATOLOGIA;0.00
CIRCULO CATOLICO;CANELONES;ESPECIALISTA EN UROLOGIA;0.00
CIRCULO CATOLICO;CANELONES;LICENCIADO EN FISIOTERAPIA;0.00
CIRCULO CATOLICO;CANELONES;LICENCIADO EN NUTRICION;0.00
CIRCULO CATOLICO;CANELONES;LICENCIADO EN PSICOLOGIA;0.18
CIRCULO CATOLICO;COLONIA;DOCTOR EN MEDICINA;19.57
CIRCULO CATOLICO;COLONIA;DOCTOR EN ODONTOLOGIA;0.00
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN ANESTESIOLOGIA;2.93
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN CARDIOLOGIA;0.00
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN CIRUGIA GENERAL;3.02
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN CIRUGIA PLASTICA REPARADORA Y ESTETICA;1.54
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;1.59
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN ENDOCRINOLOGIA;1.20
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN FISIATRIA;0.02
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN GASTROENTEROLOGIA;0.05
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN GERIATRIA GERONTOLOGICA;6.67
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN GINECOTOCOLOGIA;3.23
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN HEMATOLOGIA;0.01
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN MEDICINA FAMILIAR Y COMUNITARIA;1.54
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN NEUMOLOGIA;0.03
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN NEUROPEDIATRIA;0.00
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN OFTALMOLOGIA;1.05
