ID,Título,CIE 9,Información,Normativa,Normativa URL,SNOMED
3.b.2.8.4,Gasometría,,,,,
3.b.2.8.5,Gasometría venosa,,,,,
3.b.2.8.6,Gastrina plasmática,,,,,
3.b.2.8.7,Gentamicina en suero,,,,,
3.b.2.8.8,GLDH,,,,,
3.b.2.8.9,Glicemia,,,,,
3.b.2.8.10,Glicemia curva de,,,,,
3.b.2.8.11,Glicemia pre y post prandial,,,,,
3.b.2.8.12,"Glóbulos blancos, recuento y clasificación",,,,,
3.b.2.8.13,Glóbulos rojos recuento,,,,,
3.b.2.8.14,"Glucagón, test del",,,,,
3.b.2.8.15,Glucosa 6 fosfato deshidrogenasa,,,,,
3.b.2.8.16,Glucosa 6-fosfato,,,,,
3.b.2.8.17,Glucosuria,,,,,
3.b.2.8.18,Glutamato dehidrogenasa,,,,,
3.b.2.8.19,Gonadotrofina coriónica (sub unidad beta) en orina,,,,,
3.b.2.8.20,Gonadotrofina coriónica (sub unidad beta) en sangre,,,,,
3.b.2.8.21,Gonadotrofina coriónica (sub unidad beta) en la embarazada,,,,,
3.b.2.8.22,Gota gruesa,,,,,
3.b.2.8.23,G.O.T./ASAT,,,,,
3.b.2.8.24,G.P.T./ALAT,,,,,
3.b.2.8.25,Graham test,,,,,
3.b.2.8.26,Grasas materia fecal cuantitativo,,,,,
3.b.2.8.27,Grupo sanguíneo y factor rh,,,,,
3.b.2.9,H,,,,,
3.b.2.9.1,"Hantavirus, serologia",,,,,
3.b.2.9.2,Haptoglobina,,,,,
3.b.2.9.3,HDL Colesterol,,,,,
3.b.2.9.4,"Heins, cuerpos de",,,,,
3.b.2.9.5,Helicobacter pylori IgG,,,,,
3.b.2.9.6,Helicobacter pylori IgM,,,,,
3.b.2.9.7,"Hematíes, resistencia globular osmótica",,,,,
3.b.2.9.8,Hematocrito,,,,,
3.b.2.9.9,Hemoaglutinógenos,,,,,
3.b.2.9.10,Hemocultivo,,,,,
3.b.2.9.11,Hemoglobina,,,,,
3.b.2.9.12,Hemoglobina electroforesis,,,,,
3.b.2.9.13,Hemoglobina en plasma,,,,,
3.b.2.9.14,Hemoglobina alcali resistente,,,,,
3.b.2.9.15,Hemoglobina glicosilada o HbA1C,,,,,
3.b.2.9.16,Hemoglobinuria,,,,,
3.b.2.9.17,Hemoglobinuria paroxística nocturna,,,,,
3.b.2.9.18,Hemograma completo,,,,,
3.b.2.9.19,Hemolisinas en caliente,,,,,
3.b.2.9.20,Hemolisinas en frío,,,,,
3.b.2.9.21,Hemólisis A.I.,,,,,
3.b.2.9.22,Hemosiderina,,,,,
3.b.2.9.23,"Hepatitis virus A, IgG Ac.",,,,,
3.b.2.9.24,"Hepatitis virus A, IgM Ac.",,,,,
3.b.2.9.25,"Hepatitis virus B, Anti Core IgG",,,,,
3.b.2.9.26,"Hepatitis virus B, Anti Core IgM",,,,,
3.b.2.9.27,Hepatitis virus B (Anti Hbe),,,,,
3.b.2.9.28,Hepatitis virus B (Anti HBs Ag),,,,,
3.b.2.9.29,Hepatitis virus B (Hbe Ag),,,,,
3.b.2.9.30,Hepatitis virus B (HBs Ag),,,,,
3.b.2.9.31,"Hepatitis virus C, Ac. Anti",,,,,
3.b.2.9.32,"Herpes Simplex 1, Investigación de Ac. IgM",,,,,
3.b.2.9.33,"Herpes Simplex 2, Investigación de Ac. IgG",,,,,
3.b.2.9.34,"Herpes Simplex 2, Investigación de Ac. IgM",,,,,
3.b.2.9.35,"Hidatidosis, Estudio inmunológico de",,,,,
3.b.2.9.36,Hidatidosis-arco 5,,,,,
3.b.2.9.37,Hidatidosis hemoaglutinación,,,,,
3.b.2.9.38,Hidatidosis test del látex,,,,,
3.b.2.9.39,17-hidrocorticoides,,,,,
3.b.2.9.40,Hidroxiesteroides,,,,,
3.b.2.9.41,Hidroxindolacético ácido,,,,,
3.b.2.9.42,Hidroxiprolina,,,,,
3.b.2.9.43,"HIV, Anticuerpos anti",,,,,
3.b.2.9.44,"HIV, Carga viral",,,,,
3.b.2.9.45,Hierro,,,,,
3.b.2.9.46,Hisopado rectal,,,,,
3.b.2.9.47,Hisopo tosido,,,,,
3.b.2.9.48,Histoplasmina,,,,,
3.b.2.9.49,"Histoplasmosis, Ac",,,,,
3.b.2.9.50,Homocisteinemia,,,,,
3.b.2.9.51,Hormona de crecimiento (HGH),,,,,
3.b.2.9.52,Hormona de crecimiento basal y post ejercicio,,,,,
3.b.2.9.53,Hormona paratiroidea (PTH),,,,,
3.b.2.9.54,Hubbner test de,,,,,
3.b.2.9.55,Hudleson (Diagnóstico de Brucelosis),,,,,
3.b.2.10,I,,,,,
3.b.2.10.1,Identificación de anticuerpos inmunes,,,,,
3.b.2.10.2,Identificación de Dermatofitos,,,,,
3.b.2.10.3,Identificación de Levaduras,,,,,
3.b.2.10.4,Identificación serológica de gérmenes,,,,,
3.b.2.10.5,Ief por inmunofijación,,,,,
3.b.2.10.6,Ief histoplasmosis,,,,,
3.b.2.10.7,IgA en sangre,,,,,
3.b.2.10.8,IgE total en sangre,,,,,
3.b.2.10.9,IgG en sangre,,,,,
3.b.2.10.10,IgM en sangre,,,,,
3.b.2.10.11,IgM Anti HAV,,,,,
3.b.2.10.12,IgM Anti HBC,,,,,
3.b.2.10.13,IGF1,,,,,
3.b.2.10.14,Índice CD4/CD8,,,,,
3.b.2.10.15,Indoxilemia,,,,,
3.b.2.10.16,Inhibidor del Activador Tisular del plasminógeno,,,,,
3.b.2.10.17,Inhibidor Factor VIII,,,,,
3.b.2.10.18,"Inhibidor de factor IX, dosificación de",,,,,
3.b.2.10.19,Inhibidor lúpico,,,,,
3.b.2.10.20,Inhibidores de factores,,,,,
3.b.2.10.21,Inicio de hemólisis,,,,,
3.b.2.10.22,Inmunocomplejos circulantes,,,,,
3.b.2.10.23,Inmunoelectroforesis en sangre,,,,,
3.b.2.10.24,Inmunoelectroforesis en LCR,,,,,
3.b.2.10.25,Inmunoelectroforesis en orina,,,,,
3.b.2.10.26,Inmunofenotipo,,,,,
3.b.2.10.27,"Inmunoglobulinas, dosificación de",,,,,
3.b.2.10.28,Inmunohistoquímica,,,,,
3.b.2.10.29,Insulina basal,,,,,
3.b.2.10.30,Insulinemia post prandial,,,,,
3.b.2.10.31,Inulina clearance,,,,,
3.b.2.10.32,Investigación de BK,,,,,
3.b.2.10.33,Investigación de sangre en materia fecal,,,,,
3.b.2.10.34,Ionograma en orina,,,,,
3.b.2.10.35,Ionograma en plasma,,,,,
3.b.2.10.36,Ionograma con calcio iónico,,,,,
3.b.2.10.37,Isocítrico dehidrogenasa,,,,,
3.b.2.11,J,,,,,
3.b.2.12,K,,,,,
3.b.2.12.1,K.P.T.T. (Tiempo parcial de tromboplastina),,,,,
3.b.2.13,L,,,,,
3.b.2.13.1,Lactacidemia,,,,,
3.b.2.13.2,Lámina periférica,,,,,
3.b.2.13.3,Lamotrigina,,,,,
3.b.2.13.4,Látex artritis reumatoide,,,,,
3.b.2.13.5,Látex leptospiras,,,,,
3.b.2.13.6,Látex trichinosis,,,,,
3.b.2.13.7,L.D.H.,,,,,
3.b.2.13.8,LDH isoenzimas,,,,,
3.b.2.13.9,Leucina Amino Peptidasa (LAP),,,,,
3.b.2.13.10,Levopromazina,,,,,
3.b.2.13.11,Levulinico dehidratasa,,,,,
3.b.2.13.12,L.H. (Hormona luteinizante),,,,,
3.b.2.13.13,L.H.-F.S.H. basales,,,,,
3.b.2.13.14,L.H.-F.S.H con estimulación por L.H.R.H.,,,,,
3.b.2.13.15,Lipasa en sangre,,,,,
3.b.2.13.16,Lipidograma – Perfil lipídico,,,,,
3.b.2.13.17,Lipoproteína,,,,,
3.b.2.13.18,Listerias,,,,,
3.b.2.13.19,Litemia,,,,,
3.b.2.14,M,,,,,
3.b.2.14.1,Magnesemia,,,,,
3.b.2.14.2,Magnesio en orina,,,,,
3.b.2.14.3,Málico dehidrogenasa,,,,,
3.b.2.14.4,Marcador ca 125 ovario,,,,,
3.b.2.14.5,Marcador ca 15.3 mama,,,,,
3.b.2.14.6,Marcadores de hepatitis,,,,,
3.b.2.14.7,Marcadores de hepatitis C,,,,,
3.b.2.14.8,Marihuana en orina,,,,,
3.b.2.14.9,Melanuria,,,,,
3.b.2.14.10,Mercurio screening,,,,,
3.b.2.14.11,Metabolismo lipídico,,,,,
3.b.2.14.12,Metanefrinas,,,,,
3.b.2.14.13,Metanol en orina,,,,,
3.b.2.14.14,Metotrexate en sangre,,,,,
3.b.2.14.15,Micología directo o coloración,,,,,
3.b.2.14.16,Micología cultivo e identificación,,,,,
3.b.2.14.17,"Micológico, Estudio de Micosis Superficiales",,,,,
3.b.2.14.18,Micoplasma Pneumoniae. Ac. IgG anti,,,,,
3.b.2.14.19,Micoplasma urogenital,,,,,
3.b.2.14.20,"Micosis Profundas, Estudio Inmunológico de",,,,,
3.b.2.14.21,Microalbuminuria,,,,,
3.b.2.14.22,Mielocultivo,,,,,
3.b.2.14.23,Mielograma,,,,,
3.b.2.14.24,Mioglobina,,,,,
3.b.2.14.25,Moco nasal ph citológico,,,,,
3.b.2.14.26,Monómeros de fibrina,,,,,
3.b.2.14.27,Mononucleosis test del látex o monotest o monoslide,,,,,
3.b.2.14.28,Mononucleosis hemoaglutinación,,,,,
3.b.2.14.29,Mononucleosis hemolítico-peterson,,,,,
3.b.2.14.30,Monóxido de carbono,,,,,
3.b.2.14.31,Morfina o derivados en líquidos biológicos,,,,,
3.b.2.14.32,Mucoproteínas,,,,,
3.b.2.14.33,"Mycobacterium, identificación",,,,,
3.b.2.14.34,Mycoplasma Hominis en Secreción Endocervical,,,,,
3.b.2.14.35,Mycoplasma Hominis en Secreción Uretral,,,,,
3.b.2.14.36,Mycoplasma anticuerpo IgG,,,,,
3.b.2.15,N,,,,,
3.b.2.15.1,N – Telopéptidos (NTX),,,,,
3.b.2.15.2,Natruria,,,,,
3.b.2.15.3,5-nucleotidasa,,,,,
3.b.2.16,Ñ,,,,,
3.b.2.17,O,,,,,
3.b.2.17.1,Opiáceos en orina,,,,,
3.b.2.17.2,Orina completa,,,,,
3.b.2.17.3,Orosomucoide,,,,,
3.b.2.17.4,Osmolaridad en orina,,,,,
3.b.2.17.5,Osmolaridad en sangre,,,,,
3.b.2.17.6,Osteocalcina,,,,,
3.b.2.17.7,Oxaluria,,,,,
3.b.2.17.8,Oxcarbazepina,,,,,
3.b.2.17.9,"Oxiuros, Investigación de (Espátula adhesiva)",,,,,
3.b.2.18,P,,,,,
3.b.2.18.1,P.A.I. (Factor inhibidor del activador del plasminógeno),,,,,
3.b.2.18.2,"Paludismo, Investigación de",,,,,
3.b.2.18.3,Parasitológico seriado,,,,,
3.b.2.18.4,Parásitos hemáticos,,,,,
3.b.2.18.5,Parásitos superiores,,,,,
3.b.2.18.6,Parvovirus B19 Ac IgG,,,,,
3.b.2.18.7,Parvovirus B19 Ac IgM,,,,,
3.b.2.18.8,P.A.S. (Factor activador del plasminógeno),,,,,
3.b.2.18.9,Péptido C,,,,,
3.b.2.18.10,PH en Exudado Vaginal,,,,,
3.b.2.18.11,Piruvato-kinasa eritrocitario,,,,,
3.b.2.18.12,"Pirúvico, ácido enzimático",,,,,
3.b.2.18.13,"Plaquetas, Recuento de",,,,,
3.b.2.18.14,"Plaquetarios, factores",,,,,
3.b.2.18.15,Plasma recalcificado,,,,,
3.b.2.18.16,Plasminógeno,,,,,
3.b.2.18.17,Plomo en orina,,,,,
3.b.2.18.18,Plomo en sangre total,,,,,
3.b.2.18.19,"Pneumocystis Carinii, Investigación de",,,,,
3.b.2.18.20,Poblaciones linfocitarias,,,,,
3.b.2.18.21,Porfirinas en Orina (Estudio cuali y cuantitativo),,,,,
3.b.2.18.22,"Porfirinas, Estudio Cualitativo de",,,,,
3.b.2.18.23,Porfobilinógeno en orina,,,,,
3.b.2.18.24,Potasio plasmático,,,,,
3.b.2.18.25,Potasuria,,,,,
3.b.2.18.26,Primidona,,,,,
3.b.2.18.27,Productos de degradación del fibrinógeno – PDF,,,,,
3.b.2.18.28,Progesterona,,,,,
3.b.2.18.29,Prolactina en suero,,,,,
3.b.2.18.30,Proteínas totales en LCR.,,,,,
3.b.2.18.31,Proteínas totales en suero,,,,,
3.b.2.18.32,Proteína C de la Coagulación,,,,,
3.b.2.18.33,Proteína S de la Coagulación,,,,,
3.b.2.18.34,Proteína C Reactiva,,,,,
3.b.2.18.35,Proteínas de Bence Jones,,,,,
3.b.2.18.36,Proteinograma Electroforético en LCR.,,,,,
3.b.2.18.37,Proteinograma Electroforético en orina,,,,,
3.b.2.18.38,Proteinograma Electroforético en suero,,,,,
3.b.2.18.39,Proteinograma acetato,,,,,
3.b.2.18.40,Proteinogramas líquidos,,,,,
3.b.2.18.41,Proteinorraquia,,,,,
3.b.2.18.42,Proteinuria,,,,,
3.b.2.18.43,Protoporfirinas,,,,,
3.b.2.18.44,"Protrombina, Tiempo de",,,,,
3.b.2.18.45,"Protrombina, consumo de",,,,,
3.b.2.18.46,Protrombina owren o ducket,,,,,
3.b.2.18.47,PSA total,,,,,
3.b.2.18.48,PSA libre,,,,,
3.b.2.18.49,PSA total y libre y su relación,,,,,
3.b.2.18.50,Pseudocolinesterasa,,,,,
3.b.2.18.51,Punción citológica de partes blandas,,,,,
3.b.2.18.52,Punción de Médula Ósea,,,,,
3.b.2.18.53,"Punta de Catéter, Estudio Bacteriológico de",,,,,
3.b.2.19,Q,,,,,
3.b.2.20,R,,,,,
3.b.2.20.1,R.A. test,,,,,
3.b.2.20.2,Renina basal,,,,,
3.b.2.20.3,Renina periférica,,,,,
3.b.2.20.4,Renina-angiotensina,,,,,
3.b.2.20.5,Reserva alcalina,,,,,
3.b.2.20.6,Resistencia a la Proteína C Activada,,,,,
3.b.2.20.7,Resistencia globular,,,,,
3.b.2.20.8,Reticulocitos,,,,,
3.b.2.20.9,"Rh, Factor",,,,,
3.b.2.20.10,Rh factor c grande,,,,,
3.b.2.20.11,Rh factor c chica,,,,,
3.b.2.20.12,Rh factor e grande,,,,,
3.b.2.20.13,Rh factor e chica,,,,,
3.b.2.20.14,Rotavirus en materias fecales,,,,,
3.b.2.20.15,"Rubéola, anticuerpo IgG",,,,,
3.b.2.20.16,"Rubéola, anticuerpo IgM",,,,,
3.b.2.21,S,,,,,
3.b.2.21.1,Salicilatos,,,,,
3.b.2.21.2,Sangre en materias fecales (met. Inmun),,,,,
3.b.2.21.3,"Sarna (Sarcoptes), Investigación de",,,,,
3.b.2.21.4,Screening metabólico en orina,,,,,
3.b.2.21.5,Screening metabólico en sangre,,,,,
3.b.2.21.6,"Screening neonatal (incluye: TSH neonatal, dosaje de fenilalanina y tripsina inmunorreactiva).",,,,,
3.b.2.21.7,Serotonina en Orina,,,,,
3.b.2.21.8,Sertralina,,,,,
3.b.2.21.9,Sideremia,,,,,
3.b.2.21.10,Siderocitos,,,,,
3.b.2.21.11,"Siderofilina, capacidad",,,,,
3.b.2.21.12,"Sims-hubbener, test de",,,,,
3.b.2.21.13,Sodio en orina,,,,,
3.b.2.21.14,Sodio plasmático,,,,,
3.b.2.21.15,Somatotrofina,,,,,
3.b.2.21.16,Sorbitol dehidrogenasa,,,,,
3.b.2.21.17,"Sudán, tinción",,,,,
3.b.2.22,T,,,,,
3.b.2.22.1,T.P.H.A. en LCR,,,,,
3.b.2.22.2,T.P.H.A. en Sangre,,,,,
3.b.2.22.3,"TSH, Dosificación de",,,,,
3.b.2.22.4,"TSH ultrasensible, Dosificación de",,,,,
3.b.2.22.5,TSH en sangre de cordón,,,,,
3.b.2.22.6,"T3, Triiodotironina total",,,,,
3.b.2.22.7,"T3 libre, Dosificación de",,,,,
3.b.2.22.8,T4 tiroxina total,,,,,
3.b.2.22.9,"T4 libre, Dosificación de",,,,,
3.b.2.22.10,Teofilina en suero,,,,,
3.b.2.22.11,Test de avidez para toxoplasma,,,,,
3.b.2.22.12,Test de Ham Dacie,,,,,
3.b.2.22.13,Test de protamina,,,,,
3.b.2.22.14,Test de Sia,,,,,
3.b.2.22.15,Test de transformación linfoblástica (TTL),,,,,
3.b.2.22.16,Test del sudor,,,,,
3.b.2.22.17,Test etanol,,,,,
3.b.2.22.18,Test lisis de euglobulinas,,,,,
3.b.2.22.19,Test rápido de Estreptococo beta hemolitico,,,,,
3.b.2.22.20,Test rápido de fauces,,,,,
3.b.2.22.21,Testosterona libre,,,,,
3.b.2.22.22,Testosterona total,,,,,
3.b.2.22.23,Tiempo de Howell,,,,,
3.b.2.22.24,Tiempo de protrombina,,,,,
3.b.2.22.25,Tiempo parcial de tromboplastina (KPTT),,,,,
3.b.2.22.26,Tinción de Perls,,,,,
3.b.2.22.27,Tiroglobulinas,,,,,
3.b.2.22.28,Tolerancia a la glucosa,,,,,
3.b.2.22.29,"TORCH (toxoplasmosis, rubéola, citomegalovirus y herpes)",,,,,
3.b.2.22.30,Toxocara inmunodiagnóstica,,,,,
3.b.2.22.31,Toxoplasmosis en LCR,,,,,
3.b.2.22.32,"Toxoplasmosis, Ac. IgG",,,,,
3.b.2.22.33,"Toxoplasmosis, Ac. IgM",,,,,
3.b.2.22.34,Toxoplasmosis hemoaglutinación,,,,,
3.b.2.22.35,Toxoplasmosis IFI,,,,,
3.b.2.22.36,Toxoplasmosis reacción Sabin Feldman,,,,,
3.b.2.22.37,TPHA,,,,,
3.b.2.22.38,Transaminasas,,,,,
3.b.2.22.39,Transaminasa glutámicooxalacética (GOT),,,,,
3.b.2.22.40,Transaminasa glutámicopirúvica (GPT),,,,,
3.b.2.22.41,Transferasa terminal,,,,,
3.b.2.22.42,Transferrina,,,,,
3.b.2.22.43,Trepoinvestigación en campo oscuro,,,,,
3.b.2.22.44,Triglicéridos,,,,,
3.b.2.22.45,"Trombina, Prueba",,,,,
3.b.2.22.46,"Trombina, Tiempo de",,,,,
3.b.2.22.47,Trombina-antitrombina,,,,,
3.b.2.22.48,Tromboelastograma,,,,,
3.b.2.22.49,Troponina T,,,,,
3.b.2.23,U,,,,,
3.b.2.23.1,Urea en orina,,,,,
3.b.2.23.2,Urea en suero,,,,,
3.b.2.23.3,Urea clearence,,,,,
3.b.2.23.4,Ureaplasma Urealyticum en Exudado Uretral,,,,,
3.b.2.23.5,Ureaplasma Urealyticum en Secreción Endocervical,,,,,
3.b.2.23.6,"Uretral, exudado o flujo",,,,,
3.b.2.23.7,Uricemia,,,,,
3.b.2.23.8,Uricosuria,,,,,
3.b.2.23.9,Urocitograma,,,,,
3.b.2.23.10,Urocultivo,,,,,
3.b.2.24,V,,,,,
3.b.2.24.1,"Vaginal, exudado o flujo",,,,,
3.b.2.24.2,Valoración de la inmunidad celular,,,,,
3.b.2.24.3,Valoración de la inmunidad humoral,,,,,
3.b.2.24.4,Van De Kamer,,,,,
3.b.2.24.5,Vancomicina Pico,,,,,
3.b.2.24.6,Vancomicina Valle,,,,,
3.b.2.24.7,"Vanil mandélico, ácido",,,,,
3.b.2.24.8,Varicela Zoster,,,,,
3.b.2.24.9,V.D.R.L. en LCR,,,,,
3.b.2.24.10,V.D.R.L. en Sangre,,,,,
3.b.2.24.11,VDRL cuantitativa,,,,,
3.b.2.24.12,V.E.S.,,,,,
3.b.2.24.13,Vitamina B12,,,,,
3.b.2.24.14,Virus respiratorios,,,,,
3.b.2.24.15,Volumen corpuscular medio,,,,,
3.b.2.25,W,,,,,
3.b.2.25.1,Waaler Rose,,,,,
3.b.2.25.2,"Weber, Reacción de",,,,,
3.b.2.26,X,,,,,
3.b.2.27,Y,,,,,
3.b.2.28,Z,,,,,
3.c,Estudios y procedimientos de imagenología,,,,,
3.c.1,Radiología,,,,,
3.c.1.1,TORAX,,,,,
3.c.1.1.1,"TORAX, Frente y Perfil",,,,,
3.c.1.1.2,PROYEC. ESPECIALES DE TORAX,,,,,
3.c.1.1.3,PARRILLA COSTAL,,,,,
3.c.1.1.4,ESTERNON,,,,,
3.c.1.1.5,CONTROL DE CATETER,,,,,
3.c.1.1.6,EXPLORACIONES CON PORTATIL,,,,,
3.c.1.2,ABDOMEN,,,,,
3.c.1.2.1,ABDOMEN SIMPLE EN DECUBITO O BIPEDESTACION Y PERFIL,,,,,
3.c.1.2.2,APARATO URINARIO SIMPLE,,,,,
3.c.1.3,RADIOLOGIA OSEA,,,,,
3.c.1.3.1,CRANEO Y CARA,,,,,
3.c.1.3.1.1,MANDIBULA DOS PROYECCIONES,,,,,
3.c.1.3.1.2,MASTOIDES Y OIDO CUATRO PROYECCIONES,,,,,
3.c.1.3.1.3,SENOS PARANASALES DOS PROYECCIONES,,,,,
3.c.1.3.1.4,MACIZO FACIAL F Y P,,,,,
3.c.1.3.1.5,HUESOS PROPIOS DE LA NARIZ,,,,,
3.c.1.3.1.6,"CARA, ORBITA, HENDIDURA ESFENOIDAL",,,,,
3.c.1.3.1.7,CRANEO AP Y LAT Y BASE DE CRÁNEO (ENFOQUE HIRTZ),,,,,
3.c.1.3.1.8,ARTICULACION TEMPOROMANDIBULAR (BA/BC) BILATERAL,,,,,
3.c.1.3.1.9,SILLA TURCA F Y P,,,,,
3.c.1.3.1.10,CUELLO PARTES BLANDAS,,,,,
3.c.1.3.1.11,CAVUM,,,,,
3.c.1.3.2,OTROS CRANEO Y CARA,,,,,
3.c.1.3.2.1,ORTOPANTOMOGRAFIA,,,,,
3.c.1.3.2.2,BOER,,,,,
3.c.1.3.2.3,ENFOQUE PISO DE BOCA,,,,,
3.c.1.3.2.4,ENFOQUES COMPLEMENTARIOS,,,,,
3.c.1.3.2.5,"DENTAL INDIVIDUAL, INTRABUCAL",,,,,
3.c.1.3.3,COLUMNA,,,,,
3.c.1.3.3.1,COLUMNA CERVICAL AP Y LAT.,,,,,
3.c.1.3.3.2,COLUMNA CERVICAL OBLICUAS (DER E IZQ),,,,,
3.c.1.3.3.3,COLUMNA CERVICAL FLEXO-EXT.,,,,,
3.c.1.3.3.4,ENFOQUE DE ODONTOIDES,,,,,
3.c.1.3.3.5,ENFOQUE ATLOIDEO-AXOIDEO,,,,,
3.c.1.3.3.6,CHARNELA CÉRVICO-TORÁCICA,,,,,
3.c.1.3.3.7,CHARNELA DORSO-LUMBAR F Y P,,,,,
3.c.1.3.3.8,"COLUMNA DORSAL, A-P Y LAT.",,,,,
3.c.1.3.3.9,COLUMNA DORSAL OBLICUAS,,,,,
3.c.1.3.3.10,"COLUMNA LUMBOSACRA AP, LAT Y OBLICUAS",,,,,
3.c.1.3.3.11,COLUMNA LUMBOSACRA FLEXO-EXT.,,,,,
3.c.1.3.3.12,PASAJE O CHARNELA LUMBO-SACRA,,,,,
3.c.1.3.3.13,"SACROCOXIS, AP y LAT.",,,,,
3.c.1.3.3.14,FUNCIONALES DE COLUMNA LUMBAR,,,,,
3.c.1.3.3.15,COLUMNA TOTAL/MEDICION DE MIEMBROS (TELERRADIOGR.),,,,,
3.c.1.3.3.16,COLUMNA PANORÁMICA F Y P,,,,,
3.c.1.3.3.17,"COLUMNA TOTAL, BIPEDESTACION, AP Y LAT",,,,,
3.c.1.3.3.18,COLUMNA TOTAL: TEST DE BENDING,,,,,
3.c.1.3.4,EXTREMIDADES SUPERIORES,,,,,
3.c.1.3.4.1,CLAVICULA,,,,,
3.c.1.3.4.2,ARTICULACIÓN ACROMIO-CLAVICULAR,,,,,
3.c.1.3.4.3,ARTICULACION ESTERNO CLAVICULAR,,,,,
3.c.1.3.4.4,ESCAPULA FRENTE Y PERFIL,,,,,
3.c.1.3.4.5,HOMBRO AP y ROTACIONES,,,,,
3.c.1.3.4.6,"HOMBRO, DESFILADERO SUBACROMIAL",,,,,
3.c.1.3.4.7,AMBOS HOMBROS 2 PROYECCIONES,,,,,
3.c.1.3.4.8,HOMBRO ENFOQUES COMPLEMENTARIOS,,,,,
3.c.1.3.4.9,HUMERO AP y LAT,,,,,
3.c.1.3.4.10,HUMERO TRANSTORACICA,,,,,
3.c.1.3.4.11,"CODO, AP Y LAT",,,,,
3.c.1.3.4.12,ANTEBRAZO AP y LAT,,,,,
3.c.1.3.4.13,"PUÑO, AP Y LAT",,,,,
3.c.1.3.4.14,PUÑO FUNCIONAL,,,,,
3.c.1.3.4.15,PUÑO ESCAFOIDES,,,,,
3.c.1.3.4.16,"MANO, PA Y OBLICUA",,,,,
3.c.1.3.4.17,"DEDOS, AP Y LAT",,,,,
3.c.1.3.4.18,EDAD ÓSEA,,,,,
3.c.1.3.4.19,ENFOQUES COMPLEMENTARIOS DE CARPO,,,,,
3.c.1.3.5,EXTREMIDADES INFERIORES,,,,,
3.c.1.3.5.1,"PELVIS, AP",,,,,
3.c.1.3.5.2,PELVIMETRÍA,,,,,
3.c.1.3.5.3,SACROILIACAS PA.,,,,,
3.c.1.3.5.4,CADERA AP,,,,,
3.c.1.3.5.5,CADERA ALAR Y OBTURATRIZ,,,,,
3.c.1.3.5.6,FEMUR AP Y LAT,,,,,
3.c.1.3.5.7,"RODILLA, AP, LAT Y OBLICUAS",,,,,
3.c.1.3.5.8,ROTULA AXIAL,,,,,
3.c.1.3.5.9,RODILLA INTERCONDILEA,,,,,
3.c.1.3.5.10,RODILLAS EN CARGA,,,,,
3.c.1.3.5.11,TIBIA-PERONE AP Y LAT,,,,,
3.c.1.3.5.12,"TOBILLO, AP. Y LAT",,,,,
3.c.1.3.5.13,TOBILLO VARO / VALGO,,,,,
3.c.1.3.5.14,ARTICULACIÓN SUBASTRAGALINA,,,,,
3.c.1.3.5.15,TOBILLOS EN CARGA,,,,,
3.c.1.3.5.16,PIE AP y OBLICUA,,,,,
3.c.1.3.5.17,"CALCANEO, LAT Y AXIAL",,,,,
3.c.1.3.5.18,ENFOQUES COMPLEMENTARIOS DE PIE,,,,,
3.c.1.3.5.19,DEDO DEL PIE,,,,,
3.c.1.3.5.20,PIES EN CARGA,,,,,
3.c.1.3.5.21,SERIE OSEA COMPLETA,,,,,
3.c.1.3.5.22,MÉTODO DE GREEN,,,,,
3.c.1.3.5.23,GONIOMETRÍA,,,,,
3.c.1.4,MAMA,,,,,
3.c.1.4.1,MAMOGRAFÍA,,,,,
3.c.1.4.1.1,MAMOGRAFIA DIAGNOSTICA 2 PROYECCIONES,,,,,
3.c.1.4.1.2,MAMOGRAFÍA DE CRIBADO / SREENING 2P,,,,,
3.c.1.4.1.3,PROYECCIONES MAMOGRAFICAS COMPLEMENTARIAS,,,,,
3.c.1.4.1.4,ESTUDIO DE ESPECIMEN QUIRURGICO/ BIOPSIA PERCUTANEA,,,,,
3.c.1.4.1.5,GALACTOGRAFÍA,,,,,
3.c.1.4.1.6,NEUMOQUISTOGRAFÍA,,,,,
3.c.1.4.2,INTERVENCIONISMO DE MAMA,,,,,
3.c.1.4.2.1,PAAF (PUNCIÓN – ASPIRACIÓN CON AGUJA FINA) LESIÓN PALPABLE,,,,,
3.c.1.4.2.2,PAAF (PUNCIÓN – ASPIRACIÓN CON AGUJA FINA) POR ECOGRAFÍA,,,,,
3.c.1.4.2.3,BAG (BIOPSIA CON AGUJA GRUESA) LESIÓN PALPABLE,,,,,
3.c.1.4.2.4,BAG (BIOPSIA CON AGUJA GRUESA) POR ECOGRAFÍA,,,,,
3.c.1.4.2.5,BAV GUIADA POR ECOGRAFÍA,,,,,
3.c.1.4.2.6,MARCADORES POST-BAG,,,,,
3.c.1.5,RADIOLOGIA CONVENCIONAL CON CONTRASTE,,,,,
3.c.1.5.1,RADIOLOGIA DIGESTIVA – ESOFAGOGASTRODUODENAL,,,,,
3.c.1.5.1.1,TRÁNSITO FARINGOESOFÁGICO,,,,,
3.c.1.5.1.2,ESOFAGOGASTRODUODENO POR DOBLE CONTRASTE,,,,,
3.c.1.5.1.3,TRÁNSITO DE INTESTINO DELGADO,,,,,
3.c.1.5.1.4,ENTEROCLISIS,,,,,
3.c.1.5.2,RADIOLOGIA DIGESTIVA – COLORECTAL,,,,,
